Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age
01062,73913.0,39024.0,10867.0,9520.0,153.0,6.0,676.0,0.0,354.0,878.0,1337.0,170.0,572.0,1950.0,1504.0,430.0,436.0,43.8,41.7,45.6
01063,-666666666.0,3134.0,563.0,387.0,23.0,0.0,107.0,0.0,40.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,20.4,20.3
01066,-666666666.0,,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,-666666666.0,-666666666.0,-666666666.0
01068,85052.0,34288.0,1825.0,1788.0,4.0,11.0,5.0,0.0,17.0,45.0,317.0,39.0,124.0,280.0,156.0,17.0,22.0,45.0,45.2,44.7
01069,57994.0,30199.0,8753.0,8569.0,125.0,0.0,6.0,0.0,53.0,146.0,1664.0,185.0,745.0,1182.0,594.0,46.0,15.0,44.0,42.0,47.0
01070,55208.0,30773.0,562.0,518.0,3.0,1.0,14.0,0.0,20.0,14.0,75.0,16.0,39.0,103.0,65.0,30.0,15.0,52.7,50.6,53.4
01071,70938.0,34924.0,1271.0,1220.0,11.0,5.0,8.0,0.0,27.0,11.0,343.0,43.0,110.0,207.0,84.0,13.0,7.0,47.9,49.3,47.5
01072,75658.0,36704.0,1542.0,1434.0,13.0,8.0,9.0,0.0,72.0,70.0,114.0,34.0,56.0,296.0,297.0,36.0,91.0,46.8,45.5,48.4
01073,90318.0,44278.0,6081.0,6004.0,0.0,0.0,62.0,0.0,15.0,24.0,1267.0,91.0,544.0,836.0,696.0,99.0,39.0,48.4,45.6,49.1
01074,-666666666.0,16890.0,228.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,45.0,0.0,33.0,0.0,0.0,0.0,35.2,35.6,33.6
01075,61821.0,30822.0,17770.0,15875.0,562.0,22.0,668.0,0.0,534.0,939.0,2358.0,314.0,1293.0,2454.0,1620.0,211.0,405.0,40.8,44.7,37.2
01077,76576.0,36861.0,9650.0,9255.0,1.0,0.0,158.0,0.0,236.0,15.0,1831.0,151.0,730.0,1124.0,983.0,149.0,159.0,45.7,46.2,45.3
