ZIP,latgym,longym,Gym,Address,UserRating
33002.0,25.860073,-80.31508869999999,Nutricell Group,"4232 West 16th Avenue, Hialeah",3
33002.0,na,na,The Headquarters Barbell Club,"1653 West 33rd Place, Hialeah",na
33002.0,na,na,Caution CrossFit and FitnessFacility,"9905 Northwest 79th Avenue, Hialeah Gardens",na
33002.0,25.860387,-80.3259204,Ser-Gym Miami,"9500 Northwest 79th Avenue, Hialeah Gardens",1
33002.0,25.8602672,-80.3260312,Pacho's Studio,"9500 Northwest 79th Avenue #9, Hialeah Gardens",12
33002.0,na,na,Grace Fitness,"8040 Northwest 95th Street #339, Hialeah Gardens",na
33002.0,na,na,DRM Fitness Studio,"8040 Northwest 95th Street #221, Hialeah Gardens",na
33002.0,25.8480169,-80.28684439999999,gladiator sports fitness mma,"224 West 29th Street, Hialeah",4
33002.0,25.88636889999999,-80.3227897,Titan Fitness,"7001 West 20th Avenue, Hialeah",26
33002.0,25.848068,-80.28293099999999,Primetime Fitness Center,"20 West 29th Street, Hialeah",30
33017.0,25.943248,-80.30888,Planet Fitness,"18620 Northwest 67th Avenue, Miami",244
33017.0,25.9218426,-80.29182399999999,Rise Health & Fitness,"16357 Northwest 57th Avenue, Hialeah",93
33017.0,25.920746,-80.292453,NonStop Crossfit,"16251 Northwest 57th Avenue, Miami Lakes",22
33017.0,na,na,Somaveda Wellness Center,"18100 Northwest 68th Avenue, Hialeah",na
33017.0,na,na,ID Life Miami,"17970 Northwest 67th Avenue, Hialeah",na
33017.0,25.9342659,-80.3275328,House of Yoga,"17690 Northwest 78th Avenue #104, Hialeah",3
33017.0,25.9246611,-80.27971409999999,Rare Breed Fitness,"4838 Northwest 167th Street, Miami Gardens",23
33017.0,25.9332982,-80.32747280000001,B-Fit Training Studios,"17650 Northwest 78th Avenue #103, Hialeah",32
33017.0,na,na,Cancha Miami Lakes,"3020010090010, Hialeah",na
33017.0,na,na,Mixed Martial Arts,Hialeah,na
33017.0,25.9331397,-80.29993259999999,BURN IT UP FIT,"5941 Northwest 176th Street #14, Hialeah",3
33017.0,na,na,Fort Training,"6187 Northwest 167th Street, Hialeah",na
33017.0,na,na,Florida Warriors Martial Arts Academy,"18505 Northwest 75th Place, Hialeah",na
33017.0,na,na,Beauties & Beasts Fitness Center,Hialeah,na
33017.0,na,na,Max Rep Inc,"7602 Northwest 186th Street, Hialeah",na
33017.0,na,na,The planet circle fitness,"17671 Northwest 78th Avenue, Hialeah",na
33017.0,na,na,Urban Bliss Yoga Teacher Training,"17690 NW, Northwest 78th Avenue, Hialeah",na
33016.0,25.9152354,-80.3271426,Orangetheory Fitness,"15490-B Northwest 77th Court, Miami Lakes",83
33016.0,na,na,Cheer Revolution All Stars,"2500 West 84th Street, Hialeah",na
33016.0,25.9028545,-80.33062199999999,Ultra Body Fitness,"14211 Commerce Way #600, Miami Lakes",5
33016.0,25.8930099,-80.33252499999999,South Florida Fitness Boot Camp,"2420 West 78th Street, Hialeah",9
33016.0,25.8970872,-80.3520498,Karate America,"8200 West 33rd Avenue, Hialeah",9
33016.0,25.8920426,-80.3257742,Solid Bodies Gym,"2079 West 76th Street, Hialeah",79
33016.0,25.8977101,-80.3144212,Solid Bodies Inc,"1550 West 84th Street # 28, Hialeah",1
33016.0,na,na,Gym-Equipmentrepair,Hialeah,na
33016.0,25.897361,-80.349464,Quest Martial Arts Academy,"3300 West 84th Street #12, Hialeah",24
33016.0,25.891527,-80.334119,BM Fitness Miami,"33016, Hialeah",17
33016.0,25.8957281,-80.3358544,The Yard Miami,"8001 West 26th Avenue, Hialeah",24
33016.0,25.8951234,-80.3394526,RB Titi Boxing,"7975 West 28th Avenue, Hialeah",6
33016.0,25.8971176,-80.3359109,Grip box,"2588 West 84th Street, Hialeah",1
33016.0,na,na,Maxout Competition,"8010 West 23rd Avenue #2, Hialeah",na
33016.0,25.8967252,-80.3453766,619 Athletics,"8190 West 30th Court, Hialeah",9
33016.0,25.876742,-80.322576,Club Nutricion Herbalife,"1986 West 60th Street, Hialeah",7
33016.0,25.8969255,-80.3156755,Fit 4 Life Gym,"1550 West 84th Street #29, Hialeah",24
33016.0,25.898001,-80.35200499999999,Planet Fitness,"8350 W Hialeah Gardens Boulevard, Hialeah Gardens",327
33016.0,na,na,Keep It in the Heart Holistic Center,"8100 Oak Lane #405, Miami Lakes",na
33016.0,25.87084,-80.342563,"KO Fitness, Inc","10700 Northwest 89th Avenue, Hialeah Gardens",7
33016.0,25.8928216,-80.3364507,LIV FIT HEALTH CLUB,"7750 West 26th Avenue, Hialeah",6
33016.0,na,na,Gimnacio,"8198-8100 West 26th Avenue, Hialeah",na
33016.0,na,na,The Yard Miami,"8001 West 26th Avenue #8, Hialeah",na
33016.0,na,na,Bfit Brian Fitness,"2450 West 82nd Street, Hialeah",na
33016.0,25.897137,-80.33603049999999,Body Factory Fitness Llc,"2594 West 84th Street, Hialeah",1
33016.0,25.8971966,-80.33690179999999,Beyoutiful Beast Fitness,Hialeah,1
33016.0,25.8924103,-80.329706,Strong Arm Boxing Club,"2290 West 77th Street, Hialeah",9
33016.0,25.897114,-80.331752,Body4Yoga,"2350 West 84th Street, Hialeah",42
33016.0,na,na,BIG Fitness,"8190 West 30th Court, Hialeah",na
33016.0,25.8820263,-80.3379908,Lago Grande 27ct,"6520 West 27th Court, Hialeah",1
33016.0,25.88636889999999,-80.3227897,Titan Fitness,"7001 West 20th Avenue, Hialeah",26
33016.0,na,na,Gym Outdoors,"3220220050100, Miami Lakes",na
33016.0,na,na,Parque trotar,"near, Oak Lane, Miami Lakes",na
33016.0,25.896659,-80.3540639,Frank Valdez Baseball Academy,"3468 West 84th Street unit 111, Hialeah",8
33016.0,na,na,Gymnactic Acro,"161 Northwest 112th Street, Hialeah Gardens",na
33016.0,25.8978208,-80.35417389999999,The Box Nutrition,"450 North 134th Avenue, Hialeah",5
33016.0,25.896873,-80.31512599999999,World Tiger and Crane Goju-Ryu Karate-Do Organization,"1550 W 84 St Bay 23-24, Hialeah",2
33016.0,na,na,Gimnasio (Fisioterapia),"15330 Northwest 79th Avenue, Miami Lakes",na
33016.0,na,na,ESTUDIO IVC,"10701 Northwest 89th Avenue, Hialeah Gardens",na
33015.0,25.943248,-80.30888,Planet Fitness,"18620 Northwest 67th Avenue, Miami",244
33015.0,25.9152354,-80.3271426,Orangetheory Fitness,"15490-B Northwest 77th Court, Miami Lakes",83
33015.0,na,na,Somaveda Wellness Center,"18100 Northwest 68th Avenue, Hialeah",na
33015.0,25.9342659,-80.3275328,House of Yoga,"17690 Northwest 78th Avenue #104, Hialeah",3
33015.0,25.9332982,-80.32747280000001,B-Fit Training Studios,"17650 Northwest 78th Avenue #103, Hialeah",32
33015.0,na,na,ID Life Miami,"17970 Northwest 67th Avenue, Hialeah",na
33015.0,25.9239068,-80.3425649,Zlove Dance Fitness,"16500 Northwest 87th Avenue, Miami Gardens",7
