,,,North,0.021399901,,South,-0.021399901,,East,,0.023518703,West,,-0.023518703,NE,0.021399901,0.023518703,SW,-0.021399901,-0.023518703,SE,-0.021399901,0.023518703,NW,0.021399901,-0.023518703
zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi
33181,25.9003878,-80.1484407,33181,25.9217877,-80.1484407,33181,25.8789879,-80.1484407,33181,25.9003878,-80.124922,33181,25.9003878,-80.1719594,33181,25.9217877,-80.124922,33181,25.8789879,-80.1719594,33181,25.8789879,-80.124922,33181,25.9217877,-80.1719594
33182,25.7825806,-80.3992652,33182,25.8039805,-80.3992652,33182,25.7611807,-80.3992652,33182,25.7825806,-80.3757465,33182,25.7825806,-80.4227839,33182,25.8039805,-80.3757465,33182,25.7611807,-80.4227839,33182,25.7611807,-80.3757465,33182,25.8039805,-80.4227839
33183,25.6950625,-80.4048306,33183,25.7164624,-80.4048306,33183,25.6736626,-80.4048306,33183,25.6950625,-80.3813119,33183,25.6950625,-80.4283493,33183,25.7164624,-80.3813119,33183,25.6736626,-80.4283493,33183,25.6736626,-80.3813119,33183,25.7164624,-80.4283493
33184,25.756402,-80.402048,33184,25.7778019,-80.402048,33184,25.7350021,-80.402048,33184,25.756402,-80.3785293,33184,25.756402,-80.4255667,33184,25.7778019,-80.3785293,33184,25.7350021,-80.4255667,33184,25.7350021,-80.3785293,33184,25.7778019,-80.4255667
33185,25.733888,-80.4604643,33185,25.7552879,-80.4604643,33185,25.7124881,-80.4604643,33185,25.733888,-80.4369456,33185,25.733888,-80.483983,33185,25.7552879,-80.4369456,33185,25.7124881,-80.483983,33185,25.7124881,-80.4369456,33185,25.7552879,-80.483983
33186,25.6653934,-80.3992652,33186,25.6867933,-80.3992652,33186,25.6439935,-80.3992652,33186,25.6653934,-80.3757465,33186,25.6653934,-80.4227839,33186,25.6867933,-80.3757465,33186,25.6439935,-80.4227839,33186,25.6439935,-80.3757465,33186,25.6867933,-80.4227839
33187,25.5994424,-80.4660256,33187,25.6208423,-80.4660256,33187,25.5780425,-80.4660256,33187,25.5994424,-80.4425069,33187,25.5994424,-80.4895443,33187,25.6208423,-80.4425069,33187,25.5780425,-80.4895443,33187,25.5780425,-80.4425069,33187,25.6208423,-80.4895443
33188,25.8,-80.31,33188,25.8213999,-80.31,33188,25.7786001,-80.31,33188,25.8,-80.2864813,33188,25.8,-80.3335187,33188,25.8213999,-80.2864813,33188,25.7786001,-80.3335187,33188,25.7786001,-80.2864813,33188,25.8213999,-80.3335187
33189,25.5734243,-80.3380213,33189,25.5948242,-80.3380213,33189,25.5520244,-80.3380213,33189,25.5734243,-80.3145026,33189,25.5734243,-80.36154,33189,25.5948242,-80.3145026,33189,25.5520244,-80.36154,33189,25.5520244,-80.3145026,33189,25.5948242,-80.36154
33190,25.5527232,-80.3352364,33190,25.5741231,-80.3352364,33190,25.5313233,-80.3352364,33190,25.5527232,-80.3117177,33190,25.5527232,-80.3587551,33190,25.5741231,-80.3117177,33190,25.5313233,-80.3587551,33190,25.5313233,-80.3117177,33190,25.5741231,-80.3587551
33180,25.9581433,-80.1372757,33180,25.9795432,-80.1372757,33180,25.9367434,-80.1372757,33180,25.9581433,-80.113757,33180,25.9581433,-80.1607944,33180,25.9795432,-80.113757,33180,25.9367434,-80.1607944,33180,25.9367434,-80.113757,33180,25.9795432,-80.1607944
33179,25.9502474,-80.1930859,33179,25.9716473,-80.1930859,33179,25.9288475,-80.1930859,33179,25.9502474,-80.1695672,33179,25.9502474,-80.2166046,33179,25.9716473,-80.1695672,33179,25.9288475,-80.2166046,33179,25.9288475,-80.1695672,33179,25.9716473,-80.2166046
33178,25.8433674,-80.4326521,33178,25.8647673,-80.4326521,33178,25.8219675,-80.4326521,33178,25.8433674,-80.4091334,33178,25.8433674,-80.4561708,33178,25.8647673,-80.4091334,33178,25.8219675,-80.4561708,33178,25.8219675,-80.4091334,33178,25.8647673,-80.4561708
