,,,North,0.021399901,,South,-0.021399901,,East,,0.023518703,West,,-0.023518703,NE,0.021399901,0.023518703,SW,-0.021399901,-0.023518703,SE,-0.021399901,0.023518703,NW,0.021399901,-0.023518703
zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi
33129,25.7564471,-80.2056382,33129,25.777847,-80.2056382,33129,25.7350472,-80.2056382,33129,25.7564471,-80.1821195,33129,25.7564471,-80.2291569,33129,25.777847,-80.1821195,33129,25.7350472,-80.2291569,33129,25.7350472,-80.1821195,33129,25.777847,-80.2291569
33128,25.7767549,-80.2028489,33128,25.7981548,-80.2028489,33128,25.755355,-80.2028489,33128,25.7767549,-80.1793302,33128,25.7767549,-80.2263676,33128,25.7981548,-80.1793302,33128,25.755355,-80.2263676,33128,25.755355,-80.1793302,33128,25.7981548,-80.2263676
33127,25.8105183,-80.2042436,33127,25.8319182,-80.2042436,33127,25.7891184,-80.2042436,33127,25.8105183,-80.1807249,33127,25.8105183,-80.2277623,33127,25.8319182,-80.1807249,33127,25.7891184,-80.2277623,33127,25.7891184,-80.1807249,33127,25.8319182,-80.2277623
33102,25.8,-80.31,33102,25.8213999,-80.31,33102,25.7786001,-80.31,33102,25.8,-80.2864813,33102,25.8,-80.3335187,33102,25.8213999,-80.2864813,33102,25.7786001,-80.3335187,33102,25.7786001,-80.2864813,33102,25.8213999,-80.3335187
33106,25.6946761,-80.4489929,33106,25.716076,-80.4489929,33106,25.6732762,-80.4489929,33106,25.6946761,-80.4254742,33106,25.6946761,-80.4725116,33106,25.716076,-80.4254742,33106,25.6732762,-80.4725116,33106,25.6732762,-80.4254742,33106,25.716076,-80.4725116
33111,25.77,-80.19,33111,25.7913999,-80.19,33111,25.7486001,-80.19,33111,25.77,-80.1664813,33111,25.77,-80.2135187,33111,25.7913999,-80.1664813,33111,25.7486001,-80.2135187,33111,25.7486001,-80.1664813,33111,25.7913999,-80.2135187
33112,25.7967843,-80.3850751,33112,25.8181842,-80.3850751,33112,25.7753844,-80.3850751,33112,25.7967843,-80.3615564,33112,25.7967843,-80.4085938,33112,25.8181842,-80.3615564,33112,25.7753844,-80.4085938,33112,25.7753844,-80.3615564,33112,25.8181842,-80.4085938
33116,25.6634615,-80.4813173,33116,25.6848614,-80.4813173,33116,25.6420616,-80.4813173,33116,25.6634615,-80.4577986,33116,25.6634615,-80.504836,33116,25.6848614,-80.4577986,33116,25.6420616,-80.504836,33116,25.6420616,-80.4577986,33116,25.6848614,-80.504836
33122,25.8035656,-80.3185252,33122,25.8249655,-80.3185252,33122,25.7821657,-80.3185252,33122,25.8035656,-80.2950065,33122,25.8035656,-80.3420439,33122,25.8249655,-80.2950065,33122,25.7821657,-80.3420439,33122,25.7821657,-80.2950065,33122,25.8249655,-80.3420439
33124,25.7499745,-80.2599653,33124,25.7713744,-80.2599653,33124,25.7285746,-80.2599653,33124,25.7499745,-80.2364466,33124,25.7499745,-80.283484,33124,25.7713744,-80.2364466,33124,25.7285746,-80.283484,33124,25.7285746,-80.2364466,33124,25.7713744,-80.283484
33125,25.7862401,-80.2349196,33125,25.80764,-80.2349196,33125,25.7648402,-80.2349196,33125,25.7862401,-80.2114009,33125,25.7862401,-80.2584383,33125,25.80764,-80.2114009,33125,25.7648402,-80.2584383,33125,25.7648402,-80.2114009,33125,25.80764,-80.2584383
33126,25.778647,-80.2962385,33126,25.8000469,-80.2962385,33126,25.7572471,-80.2962385,33126,25.778647,-80.2727198,33126,25.778647,-80.3197572,33126,25.8000469,-80.2727198,33126,25.7572471,-80.3197572,33126,25.7572471,-80.2727198,33126,25.8000469,-80.3197572
33170,25.6052352,-80.5549561,33170,25.6266351,-80.5549561,33170,25.5838353,-80.5549561,33170,25.6052352,-80.5314374,33170,25.6052352,-80.5784748,33170,25.6266351,-80.5314374,33170,25.5838353,-80.5784748,33170,25.5838353,-80.5314374,33170,25.6266351,-80.5784748
33156,25.6579955,-80.2878794,33156,25.6793954,-80.2878794,33156,25.6365956,-80.2878794,33156,25.6579955,-80.2643607,33156,25.6579955,-80.3113981,33156,25.6793954,-80.2643607,33156,25.6365956,-80.3113981,33156,25.6365956,-80.2643607,33156,25.6793954,-80.3113981
33158,25.6387878,-80.3073826,33158,25.6601877,-80.3073826,33158,25.6173879,-80.3073826,33158,25.6387878,-80.2838639,33158,25.6387878,-80.3309013,33158,25.6601877,-80.2838639,33158,25.6173879,-80.3309013,33158,25.6173879,-80.2838639,33158,25.6601877,-80.3309013
33157,25.6085924,-80.3380213,33157,25.6299923,-80.3380213,33157,25.5871925,-80.3380213,33157,25.6085924,-80.3145026,33157,25.6085924,-80.36154,33157,25.6299923,-80.3145026,33157,25.5871925,-80.36154,33157,25.5871925,-80.3145026,33157,25.6299923,-80.36154
33161,25.8909628,-80.1819268,33161,25.9123627,-80.1819268,33161,25.8695629,-80.1819268,33161,25.8909628,-80.1584081,33161,25.8909628,-80.2054455,33161,25.9123627,-80.1584081,33161,25.8695629,-80.2054455,33161,25.8695629,-80.1584081,33161,25.9123627,-80.2054455
33155,25.7360194,-80.3157397,33155,25.7574193,-80.3157397,33155,25.7146195,-80.3157397,33155,25.7360194,-80.292221,33155,25.7360194,-80.3392584,33155,25.7574193,-80.292221,33155,25.7146195,-80.3392584,33155,25.7146195,-80.292221,33155,25.7574193,-80.3392584
33162,25.9260794,-80.1819268,33162,25.9474793,-80.1819268,33162,25.9046795,-80.1819268,33162,25.9260794,-80.1584081,33162,25.9260794,-80.2054455,33162,25.9474793,-80.1584081,33162,25.9046795,-80.2054455,33162,25.9046795,-80.1584081,33162,25.9474793,-80.2054455
33153,25.865518,-80.1934589,33153,25.8869179,-80.1934589,33153,25.8441181,-80.1934589,33153,25.865518,-80.1699402,33153,25.865518,-80.2169776,33153,25.8869179,-80.1699402,33153,25.8441181,-80.2169776,33153,25.8441181,-80.1699402,33153,25.8869179,-80.2169776
33152,25.7932231,-80.3171325,33152,25.814623,-80.3171325,33152,25.7718232,-80.3171325,33152,25.7932231,-80.2936138,33152,25.7932231,-80.3406512,33152,25.814623,-80.2936138,33152,25.7718232,-80.3406512,33152,25.7718232,-80.2936138,33152,25.814623,-80.3406512
33151,25.8321804,-80.209725,33151,25.8535803,-80.209725,33151,25.8107805,-80.209725,33151,25.8321804,-80.1862063,33151,25.8321804,-80.2332437,33151,25.8535803,-80.1862063,33151,25.8107805,-80.2332437,33151,25.8107805,-80.1862063,33151,25.8535803,-80.2332437
33150,25.8487631,-80.2070328,33150,25.870163,-80.2070328,33150,25.8273632,-80.2070328,33150,25.8487631,-80.1835141,33150,25.8487631,-80.2305515,33150,25.870163,-80.1835141,33150,25.8273632,-80.2305515,33150,25.8273632,-80.1835141,33150,25.870163,-80.2305515
33163,25.95,-80.15,33163,25.9713999,-80.15,33163,25.9286001,-80.15,33163,25.95,-80.1264813,33163,25.95,-80.1735187,33163,25.9713999,-80.1264813,33163,25.9286001,-80.1735187,33163,25.9286001,-80.1264813,33163,25.9713999,-80.1735187
33142,25.8127791,-80.2377078,33142,25.834179,-80.2377078,33142,25.7913792,-80.2377078,33142,25.8127791,-80.2141891,33142,25.8127791,-80.2612265,33142,25.834179,-80.2141891,33142,25.7913792,-80.2612265,33142,25.7913792,-80.2141891,33142,25.834179,-80.2612265
33143,25.6993807,-80.2934522,33143,25.7207806,-80.2934522,33143,25.6779808,-80.2934522,33143,25.6993807,-80.2699335,33143,25.6993807,-80.3169709,33143,25.7207806,-80.2699335,33143,25.6779808,-80.3169709,33143,25.6779808,-80.2699335,33143,25.7207806,-80.3169709
33144,25.7621935,-80.3129541,33144,25.7835934,-80.3129541,33144,25.7407936,-80.3129541,33144,25.7621935,-80.2894354,33144,25.7621935,-80.3364728,33144,25.7835934,-80.2894354,33144,25.7407936,-80.3364728,33144,25.7407936,-80.2894354,33144,25.7835934,-80.3364728
33145,25.7534663,-80.2265545,33145,25.7748662,-80.2265545,33145,25.7320664,-80.2265545,33145,25.7534663,-80.2030358,33145,25.7534663,-80.2500732,33145,25.7748662,-80.2030358,33145,25.7320664,-80.2500732,33145,25.7320664,-80.2030358,33145,25.7748662,-80.2500732
33146,25.7213213,-80.2711588,33146,25.7427212,-80.2711588,33146,25.6999214,-80.2711588,33146,25.7213213,-80.2476401,33146,25.7213213,-80.2946775,33146,25.7427212,-80.2476401,33146,25.6999214,-80.2946775,33146,25.6999214,-80.2476401,33146,25.7427212,-80.2946775
33147,25.84791,-80.2377078,33147,25.8693099,-80.2377078,33147,25.8265101,-80.2377078,33147,25.84791,-80.2141891,33147,25.84791,-80.2612265,33147,25.8693099,-80.2141891,33147,25.8265101,-80.2612265,33147,25.8265101,-80.2141891,33147,25.8693099,-80.2612265
33159,25.77,-80.19,33159,25.7913999,-80.19,33159,25.7486001,-80.19,33159,25.77,-80.1664813,33159,25.77,-80.2135187,33159,25.7913999,-80.1664813,33159,25.7486001,-80.2135187,33159,25.7486001,-80.1664813,33159,25.7913999,-80.2135187
33109,25.7560139,-80.1344842,33109,25.7774138,-80.1344842,33109,25.734614,-80.1344842,33109,25.7560139,-80.1109655,33109,25.7560139,-80.1580029,33109,25.7774138,-80.1109655,33109,25.734614,-80.1580029,33109,25.734614,-80.1109655,33109,25.7774138,-80.1580029
33139,25.783312,-80.1484407,33139,25.8047119,-80.1484407,33139,25.7619121,-80.1484407,33139,25.783312,-80.124922,33139,25.783312,-80.1719594,33139,25.8047119,-80.124922,33139,25.7619121,-80.1719594,33139,25.7619121,-80.124922,33139,25.8047119,-80.1719594
33141,25.8535635,-80.1484407,33141,25.8749634,-80.1484407,33141,25.8321636,-80.1484407,33141,25.8535635,-80.124922,33141,25.8535635,-80.1719594,33141,25.8749634,-80.124922,33141,25.8321636,-80.1719594,33141,25.8321636,-80.124922,33141,25.8749634,-80.1719594
33154,25.8871575,-80.1261093,33154,25.9085574,-80.1261093,33154,25.8657576,-80.1261093,33154,25.8871575,-80.1025906,33154,25.8871575,-80.149628,33154,25.9085574,-80.1025906,33154,25.8657576,-80.149628,33154,25.8657576,-80.1025906,33154,25.9085574,-80.149628
33140,25.8176795,-80.1372757,33140,25.8390794,-80.1372757,33140,25.7962796,-80.1372757,33140,25.8176795,-80.113757,33140,25.8176795,-80.1607944,33140,25.8390794,-80.113757,33140,25.7962796,-80.1607944,33140,25.7962796,-80.113757,33140,25.8390794,-80.1607944
33119,25.7842281,-80.1321792,33119,25.805628,-80.1321792,33119,25.7628282,-80.1321792,33119,25.7842281,-80.1086605,33119,25.7842281,-80.1556979,33119,25.805628,-80.1086605,33119,25.7628282,-80.1556979,33119,25.7628282,-80.1086605,33119,25.805628,-80.1556979
33239,25.789985,-80.1399824,33239,25.8113849,-80.1399824,33239,25.7685851,-80.1399824,33239,25.789985,-80.1164637,33239,25.789985,-80.1635011,33239,25.8113849,-80.1164637,33239,25.7685851,-80.1635011,33239,25.7685851,-80.1164637,33239,25.8113849,-80.1635011
33056,25.9595052,-80.2432839,33056,25.9809051,-80.2432839,33056,25.9381053,-80.2432839,33056,25.9595052,-80.2197652,33056,25.9595052,-80.2668026,33056,25.9809051,-80.2197652,33056,25.9381053,-80.2668026,33056,25.9381053,-80.2197652,33056,25.9809051,-80.2668026
33160,25.9347377,-80.1372757,33160,25.9561376,-80.1372757,33160,25.9133378,-80.1372757,33160,25.9347377,-80.113757,33160,25.9347377,-80.1607944,33160,25.9561376,-80.113757,33160,25.9133378,-80.1607944,33160,25.9133378,-80.113757,33160,25.9561376,-80.1607944
33055,25.9445817,-80.2823063,33055,25.9659816,-80.2823063,33055,25.9231818,-80.2823063,33055,25.9445817,-80.2587876,33055,25.9445817,-80.305825,33055,25.9659816,-80.2587876,33055,25.9231818,-80.305825,33055,25.9231818,-80.2587876,33055,25.9659816,-80.305825
33054,25.9126818,-80.2432839,33054,25.9340817,-80.2432839,33054,25.8912819,-80.2432839,33054,25.9126818,-80.2197652,33054,25.9126818,-80.2668026,33054,25.9340817,-80.2197652,33054,25.8912819,-80.2668026,33054,25.8912819,-80.2197652,33054,25.9340817,-80.2668026
